,name,artist,album,track_number,Artist,storeId
643,I'm Green (Instrumental Version),['RJD2'],The Abandoned Lullaby - Instrumentals,8.0,['RJD2'],Tff7yeivr6fgimpomroq65moyku
644,Gun for Hire (Instrumental Version),['RJD2'],The Abandoned Lullaby - Instrumentals,9.0,['RJD2'],Tb5legmlldzqlcpszesn5ofhyi4
645,In Exile (Instrumental Version),['RJD2'],The Abandoned Lullaby - Instrumentals,10.0,['RJD2'],Tgodqrygwxbi4pqxkmzepz6h2oi
646,"Please, Don't (Instrumental Version)",['RJD2'],The Abandoned Lullaby - Instrumentals,11.0,['RJD2'],Tneiusergjgvsgdu7q57vvy2xky
647,Find Yourself (Instrumental Version),['RJD2'],The Abandoned Lullaby - Instrumentals,12.0,['RJD2'],Tgkqzwznylmoxrzjqu4nugvqnhu
648,Stayin' Alive - Remastered Version,['Bee Gees'],Number Ones,11.0,['Bee Gees'],
649,Where Is Now,['David Maxim Micic'],Bilo 3.0,2.0,['David Maxim Micic'],
650,Wrinkle Maze,['David Maxim Micic'],Bilo 3.0,5.0,['David Maxim Micic'],
651,Daydreamers,['David Maxim Micic'],Bilo 3.0,6.0,['David Maxim Micic'],
652,Ain't No Mountain High Enough - Mono Version,"['Marvin Gaye', ' Tammi Terrell']",Anthology,16.0,"['Marvin Gaye', ' Tammi Terrell']",Tmlprwolxf7kasojyuim75deqta
653,Escape (The Pina Colada Song),['Rupert Holmes'],Partners In Crime,1.0,['Rupert Holmes'],T2j72za2tan6wnuht5f7kxhvxzq
654,O-o-h Child - Remastered,['The Five Stairsteps'],The First Family of Soul: The Best of The Five Stairsteps,17.0,['The Five Stairsteps'],T4vplzya43k4yuyrwwcvj5yfqn4
655,Come And Get Your Love,['Redbone'],The Best Of Redbone,1.0,['Redbone'],T4onpeldxryt4mhjxmvjgujopue
656,Cherry Bomb,['The Runaways'],The Runaways,1.0,['The Runaways'],T67k2gsdzm7p4zdrm7recvmmvna
657,I Want You Back,['The Jackson 5'],Greatest Hits,1.0,['The Jackson 5'],Tamyenflq2vsao5qe7l6hfihn3q
658,I'm Not In Love,['10cc'],20th Century Masters: The Millennium Collection: Best Of 10CC,3.0,['10cc'],Tr4y7qyteco2joazmrbjrhqurua
659,Fooled Around And Fell In Love,['Elvin Bishop'],Struttin' My Stuff,5.0,['Elvin Bishop'],Tqkx6ztpw76zonqskrosjz4ajze
660,Spirit in the Sky,['Norman Greenbaum'],The Original Hit Recording - Spirit in the Sky,1.0,['Norman Greenbaum'],Tpilkjly5r3na2i6umwz3cluzua
661,Moonage Daydream - 2012 Remastered Version,['David Bowie'],The Rise and Fall of Ziggy Stardust and the Spiders from Mars (Remastered Version),3.0,['David Bowie'],
662,Hooked on a Feeling,"['Blue Swede', ' Björn Skifs']",Hooked On A Feeling,1.0,"['Blue Swede', ' Björn Skifs']",T6re3gjpwihv5mchy3e7txcyzi4
663,Go All The Way,['Raspberries'],Raspberries,1.0,['Raspberries'],T7x5hx4mebhyreqybvzhu3bbxhq
664,Of Mice And Men,['Megadeth'],Warchest,17.0,['Megadeth'],
665,Kill The King,['Megadeth'],Warchest,10.0,['Megadeth'],
666,Almost Honest - Remastered 2004/Remixed,['Megadeth'],Warchest,2.0,['Megadeth'],
667,A Tout Le Monde - 2004 Digital Remaster,['Megadeth'],Warchest,19.0,['Megadeth'],
668,New World Order - デモ,['Megadeth'],Warchest,14.0,['Megadeth'],
669,Angry Again,['Megadeth'],Warchest,11.0,['Megadeth'],
670,Sweating Bullets - Live At The Cow Palace/1992,['Megadeth'],Warchest,9.0,['Megadeth'],
671,Ashes In Your Mouth - Live At The Cow Palace/1992,['Megadeth'],Warchest,8.0,['Megadeth'],
672,Foreclosure Of A Dream - Remastered,['Megadeth'],Warchest,4.0,['Megadeth'],
673,Symphony Of Destruction - 2004 Digital Remaster,['Megadeth'],Warchest,2.0,['Megadeth'],
674,In My Darkest Hour,['Megadeth'],Warchest,11.0,['Megadeth'],
675,Peace Sells - Remastered,['Megadeth'],Warchest,3.0,['Megadeth'],
676,Killing Is My Business...And Business Is Good! - Remix,['Megadeth'],Warchest,1.0,['Megadeth'],
677,Come Together,['Aerosmith'],Aerosmith's Greatest Hits,9.0,['Aerosmith'],Tjjoeikiy2yrh5apwj3rre34cka
678,Home,['Edward Sharpe & The Magnetic Zeros'],Up From Below,6.0,['Edward Sharpe & The Magnetic Zeros'],Tdrhc5eyhgamsaiegorbrkvuv64
679,Head Full Of Doubt/Road Full Of Promise,['The Avett Brothers'],I And Love And You,3.0,['The Avett Brothers'],Twzpsr2updhlrirgbdzxayre6ry
680,Head Full Of Doubt/Road Full Of Promise,['The Avett Brothers'],I And Love And You,3.0,['The Avett Brothers'],Twzpsr2updhlrirgbdzxayre6ry
681,What About Me?,['Snarky Puppy'],We Like It Here,2.0,['Snarky Puppy'],Tgiiumnvuckiusq45t76leo767a
682,Someone New,['Hozier'],Hozier (Deluxe),4.0,['Hozier'],
683,Best Friend,['Foster The People'],Supermodel,7.0,['Foster The People'],Twzfthtdvi5jk63qoixkskd7nji
684,Wide Eyes,['Local Natives'],Gorilla Manor,1.0,['Local Natives'],T4m7dbfle2spcooc5kzhbt2ipzq
685,Take Me to Church,['Hozier'],Hozier,1.0,['Hozier'],Trfel6cbyanproddqqnsf6kvgqq
686,21 Guns,['Green Day'],21st Century Breakdown,16.0,['Green Day'],Tuijtvedotvuamgkwykajafezyu
687,Fight Music,['D12'],Devils Night,11.0,['D12'],Tqg2cjatrjvggdtq6wvmy2blyam
688,Triumph,"['Wu-Tang Clan', ' Cappadonna']",Wu-Tang Forever (Explicit),2.0,"['Wu-Tang Clan', ' Cappadonna']",
689,Xxplosive,"['Dr. Dre', ' Hittman', ' Six-Two', ' Nate Dogg', ' Kurupt']",2001 (Explicit Version),6.0,"['Dr. Dre', ' Hittman', ' Six-Two', ' Nate Dogg', ' Kurupt']",Tlisvl575yiv4oiahwl6bqqwmrq
690,Domo23,"['Tyler', ' The Creator']",Wolf,5.0,"['Tyler', ' The Creator']",T4i26jkkscyohzbpbj5us5xcslu
691,Beat It,"['Fall Out Boy', ' John Mayer']",Believers Never Die - Greatest Hits,11.0,"['Fall Out Boy', ' John Mayer']",Te6uf43brkybri5jnc7eijjz4sa
692,Here I Am,"['SOJA', ' Rebelution']",Born In Babylon,14.0,"['SOJA', ' Rebelution']",Ttxkzdcrpsd43ruy36uvocyvyvq
693,Soundtrack 2 My Life,['Kid Cudi'],Man On The Moon: The End Of Day,2.0,['Kid Cudi'],Tvhqg62gr7s2obi6jf2ijfl7co4
